type,Mã trạm/LakeCode,Trạm/Hồ,Tên sông/Lưu vực,Tên tỉnh,Thời gian (UTC),Mực nước (m),Cảnh báo/Xu thế,Cảnh báo value (0-4),Chênh lệch cảnh báo (m),BĐ1 (m),BĐ2 (m),BĐ3 (m),Mực nước lịch sử (m),Năm lũ lịch sử,x,y,Dung tích (m3),Dung tích TK (m3),Tỷ lệ dung tích (%),Q đến (m3/s),Q xả (m3/s),Mực nước BT (m),Mực nước GC (m),Mã Cảnh báo,province_code,basin_code
Lake,B79C6DFB-A9B1-4AA4-A287-DEA9D6CE57FB,An Khê,Ba,Gia Lai,2025-11-09 12:00,428.93,Xuong,,,,,,,,108.6836418,14.01699131,15.6329775,15.9,98.32,,4,429,,1,64,1
Lake,B79C6DFB-A9B1-4AA4-A287-DEA9D6CE57FB,An Khê,Ba,Gia Lai,2025-11-10 12:00,428.92,Xuong,,,,,,,,108.6836418,14.01699131,15.6020422,15.9,98.13,,4,429,,1,64,1
Lake,B79C6DFB-A9B1-4AA4-A287-DEA9D6CE57FB,An Khê,Ba,Gia Lai,2025-11-11 12:00,428.89,Xuong,,,,,,,,108.6836418,14.01699131,15.5090456,15.9,97.54,,4,429,,1,64,1
Lake,B79C6DFB-A9B1-4AA4-A287-DEA9D6CE57FB,An Khê,Ba,Gia Lai,2025-11-12 12:00,428.81,Xuong,,,,,,,,108.6836418,14.01699131,15.260993,15.9,95.98,,4,429,,1,64,1
Lake,B79C6DFB-A9B1-4AA4-A287-DEA9D6CE57FB,An Khê,Ba,Gia Lai,2025-11-13 12:00,428.88,Xuong,,,,,,,,108.6836418,14.01699131,15.4780159,15.9,97.35,,4,429,,1,64,1
Lake,B79C6DFB-A9B1-4AA4-A287-DEA9D6CE57FB,An Khê,Ba,Gia Lai,2025-11-14 12:00,428.99,BinhThuong,,,,,,,,108.6836418,14.01699131,15.81897,15.9,99.49,,10,429,,1,64,1
Lake,B79C6DFB-A9B1-4AA4-A287-DEA9D6CE57FB,An Khê,Ba,Gia Lai,2025-11-15 0:00,428.98,Xuong,,,,,,,,108.6836418,14.01699131,15.7880344,15.9,99.3,,40,429,,1,64,1
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-09 12:00,203.52,Xuong,,,,,,,,108.230063,13.637508,237.160141,200,118.58007,90.55,222.32,205.15,209.92,1,64,1
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-10 12:00,203.19,Xuong,,,,,,,,108.230063,13.637508,226.270081,200,113.13504,97.64,198.87,205.15,209.92,1,64,1
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-11 12:00,202.93,Xuong,,,,,,,,108.230063,13.637508,217.689758,200,108.844879,94.81,180.75,205.15,209.92,1,64,1
